,Title,Release_Year,Genre,IMDB_Rating,Runtime,Age_Rating,Country_Origin,Available_Streaming_Services,Link,Type(Movie/TV_Show)
60,A Gentleman in Moscow,2024,"Drama, History, Mystery & Thriller",6.7,48min,Na,United Kingdom,Amazon Prime Video,https://www.justwatch.com/in/tv-show/a-gentleman-in-moscow,Tv_Show
61,Young Sheldon,2017,"Comedy, Kids & Family",7.6,19min,U,United States,"Amazon Prime Video,Netflix",https://www.justwatch.com/in/tv-show/young-sheldon,Tv_Show
62,Baby Reindeer,2024,"Drama, Comedy",8.0,34min,Na,United Kingdom,,https://www.justwatch.com/in/tv-show/baby-reindeer,Tv_Show
63,The Great Indian Kapil Show,2024,Comedy,7.5,53min,Na,Na,Netflix,https://www.justwatch.com/in/tv-show/untitled-kapil-sharma-netflix-project,Tv_Show
64,Heeramandi: The Diamond Bazaar,2024,"Drama, History, Romance",5.4,55min,Na,India,Netflix,https://www.justwatch.com/in/tv-show/heeramandi,Tv_Show
65,Dead Boy Detectives,2024,"Action & Adventure, Comedy, Crime, Drama, Horror, Science-Fiction",7.6,54min,Na,United States,Netflix,https://www.justwatch.com/in/tv-show/dead-boy-detectives,Tv_Show
66,The Gentlemen,2024,"Action & Adventure, Comedy, Crime, Drama",8.1,50min,A,"United Kingdom, United States",Netflix,https://www.justwatch.com/in/tv-show/the-gentlemen,Tv_Show
67,Sunflower,2021,"Comedy, Crime",7.5,37min,A,India,VI movies and tv,https://www.justwatch.com/in/tv-show/sunflower-2021,Tv_Show
68,Solo Leveling,2024,"Fantasy, Animation, Action & Adventure, Science-Fiction",8.4,24min,Na,"South Korea, Japan",Crunchyroll,https://www.justwatch.com/in/tv-show/solo-leveling-2024,Tv_Show
69,Parasyte: The Grey,2024,"Drama, Horror, Science-Fiction, Mystery & Thriller, Action & Adventure",7.2,50min,Na,South Korea,Netflix,https://www.justwatch.com/in/tv-show/parasyte-the-grey,Tv_Show
70,Mastram,2020,"Drama, Comedy, Fantasy",7.1,28min,Na,India,,https://www.justwatch.com/in/tv-show/mastram,Tv_Show
71,The Walking Dead,2010,"Action & Adventure, Drama, Science-Fiction, Horror, Mystery & Thriller",8.1,46min,U,United States,"Netflix,Amazon Prime Video",https://www.justwatch.com/in/tv-show/the-walking-dead,Tv_Show
72,Farzi,2023,"Crime, Drama, Mystery & Thriller",8.4,56min,Na,India,Amazon Prime Video,https://www.justwatch.com/in/tv-show/farzi,Tv_Show
73,Queen of Tears,2024,"Kids & Family, Comedy, Drama",,1h 29min,Na,South Korea,,https://www.justwatch.com/in/tv-show/queen-of-tears,Tv_Show
74,Invincible,2021,"Drama, Animation, Science-Fiction, Action & Adventure, Fantasy, Mystery & Thriller",8.7,48min,Na,United States,Amazon Prime Video,https://www.justwatch.com/in/tv-show/invincible,Tv_Show
75,Maharani,2021,Drama,7.9,44min,UA,India,"Sony Liv,VI movies and tv",https://www.justwatch.com/in/tv-show/maharani-2021,Tv_Show
76,Lucifer,2016,"Crime, Science-Fiction, Fantasy, Drama",8.1,47min,U,Na,Netflix,https://www.justwatch.com/in/tv-show/lucifer,Tv_Show
77,Jujutsu Kaisen,2020,"Fantasy, Mystery & Thriller, Animation, Action & Adventure, Science-Fiction",8.6,23min,Na,"United States, Japan","Netflix,Crunchyroll",https://www.justwatch.com/in/tv-show/jujutsu-kaisen,Tv_Show
78,Maamla Legal Hai,2024,"Drama, Comedy",8.1,32min,Na,India,Netflix,https://www.justwatch.com/in/tv-show/maamla-legal-hai,Tv_Show
79,Anthracite,2024,"Drama, Mystery & Thriller, Crime",6.1,50min,Na,France,Netflix,https://www.justwatch.com/in/tv-show/anthracite,Tv_Show
80,The Family Man,2019,"Comedy, Drama, Action & Adventure",8.7,45min,Na,India,Amazon Prime Video,https://www.justwatch.com/in/tv-show/the-family-man,Tv_Show
81,Gandii Baat,2018,"Crime, Drama, Mystery & Thriller",3.4,44min,A,India,Alt Balaji,https://www.justwatch.com/in/tv-show/gandii-baat,Tv_Show
82,True Detective,2014,"Drama, Mystery & Thriller, Crime",8.9,1h 1min,U,United States,Jio Cinema,https://www.justwatch.com/in/tv-show/true-detective,Tv_Show
83,Sugar,2024,"Drama, Mystery & Thriller, Crime",7.8,37min,Na,United States,Apple TV Plus,https://www.justwatch.com/in/tv-show/sugar,Tv_Show
84,Reacher,2022,"Action & Adventure, Crime, Drama, Mystery & Thriller",8.1,48min,A,United States,Amazon Prime Video,https://www.justwatch.com/in/tv-show/jack-reacher,Tv_Show
85,Aashram,2020,"Crime, Drama, Mystery & Thriller",7.4,43min,Na,India,,https://www.justwatch.com/in/tv-show/aashram,Tv_Show
86,Euphoria,2019,Drama,8.3,58min,A,United States,Jio Cinema,https://www.justwatch.com/in/tv-show/euphoria,Tv_Show
87,The Rookie,2018,"Crime, Drama, Comedy, Action & Adventure",8.0,42min,Na,Na,,https://www.justwatch.com/in/tv-show/the-rookie,Tv_Show
88,Money Heist,2017,"Crime, Drama, Mystery & Thriller, Action & Adventure, Made in Europe",8.2,51min,Na,Spain,Netflix,https://www.justwatch.com/in/tv-show/paperhouse,Tv_Show
89,Broken But Beautiful,2018,"Drama, Romance",8.6,26min,Na,India,"Alt Balaji,Jio Cinema,Zee5,MX Player,VI movies and tv",https://www.justwatch.com/in/tv-show/broken-but-beautiful,Tv_Show
90,We Were the Lucky Ones,2024,Drama,6.9,54min,Na,United States,Hotstar,https://www.justwatch.com/in/tv-show/we-were-the-lucky-ones,Tv_Show
91,Scam 1992,2020,"Mystery & Thriller, Crime, Drama",9.3,52min,Na,India,Sony Liv,https://www.justwatch.com/in/tv-show/scam-1992,Tv_Show
92,Modern Family,2009,"Comedy, Drama, Romance",8.5,21min,Na,United States,Hotstar,https://www.justwatch.com/in/tv-show/modern-family,Tv_Show
93,Asur: Welcome to Your Dark Side,2020,"Crime, Drama, Mystery & Thriller",8.5,47min,Na,India,Jio Cinema,https://www.justwatch.com/in/tv-show/asur,Tv_Show
94,The Last of Us,2023,"Drama, Science-Fiction, Mystery & Thriller, Action & Adventure, Horror",8.7,58min,A,United States,Jio Cinema,https://www.justwatch.com/in/tv-show/the-last-of-us,Tv_Show
95,Damaged,2018,"Drama, Crime, Horror, Mystery & Thriller",5.5,20min,Na,India,VI movies and tv,https://www.justwatch.com/in/tv-show/damaged,Tv_Show
96,Breaking Bad,2008,"Drama, Mystery & Thriller, Crime",9.5,47min,U,United States,Netflix,https://www.justwatch.com/in/tv-show/breaking-bad,Tv_Show
97,The Good Doctor,2017,Drama,8.0,43min,U,United States,"Netflix,Sony Liv",https://www.justwatch.com/in/tv-show/the-good-doctor,Tv_Show
98,American Horror Story,2011,"Mystery & Thriller, Science-Fiction, Drama, Horror",8.0,44min,Na,United States,Hotstar,https://www.justwatch.com/in/tv-show/american-horror-story,Tv_Show
99,The Flash,2014,"Action & Adventure, Drama, Science-Fiction",7.5,42min,Na,Na,,https://www.justwatch.com/in/tv-show/the-flash,Tv_Show
